versão=11;
"Tabela de Municípios do IBGE", baixada no site do SPED Fiscal; 
em 14/01/2013, o município de "Presidente Juscelino" (2410306) passou a chamar-se "Serra Caiada";
COD_MUN|NOM_MUN|DT_INI|DT_FIM
1101005|Governador Jorge Teixeira|01012009|
1100106|Guajará-Mirim|01012009|
1101104|Itapuã do Oeste|01012009|
1100114|Jaru|01012009|
1100122|Ji-Paraná|01012009|
1100130|Machadinho D'Oeste|01012009|
1101203|Ministro Andreazza|01012009|
1101302|Mirante da Serra|01012009|
1101401|Monte Negro|01012009|
1100148|Nova Brasilândia D'Oeste|01012009|
1100338|Nova Mamoré|01012009|
1101435|Nova União|01012009|
1100502|Novo Horizonte do Oeste|01012009|
1100155|Ouro Preto do Oeste|01012009|
1101450|Parecis|01012009|
1100189|Pimenta Bueno|01012009|
1101468|Pimenteiras do Oeste|01012009|
1100205|Porto Velho|01012009|
1100254|Presidente Médici|01012009|
1101476|Primavera de Rondônia|01012009|
1100262|Rio Crespo|01012009|
1100288|Rolim de Moura|01012009|
1100296|Santa Luzia D'Oeste|01012009|
1101484|São Felipe D'Oeste|01012009|
1101492|São Francisco do Guaporé|01012009|
1100320|São Miguel do Guaporé|01012009|
1101500|Seringueiras|01012009|
1101559|Teixeirópolis|01012009|
1101609|Theobroma|01012009|
1101708|Urupá|01012009|
1101757|Vale do Anari|01012009|
1101807|Vale do Paraíso|01012009|
1100304|Vilhena|01012009|
1300029|Alvarães|01012009|
1300060|Amaturá|01012009|
1300086|Anamã|01012009|
1300102|Anori|01012009|
1300144|Apuí|01012009|
1300201|Atalaia do Norte|01012009|
1300300|Autazes|01012009|
1300409|Barcelos|01012009|
1300508|Barreirinha|01012009|
1300607|Benjamin Constant|01012009|
1300631|Beruri|01012009|
1300680|Boa Vista do Ramos|01012009|
1300706|Boca do Acre|01012009|
1300805|Borba|01012009|
1300839|Caapiranga|01012009|
1300904|Canutama|01012009|
1301001|Carauari|01012009|
1301100|Careiro|01012009|
1301159|Careiro da Várzea|01012009|
1301209|Coari|01012009|
1301308|Codajás|01012009|
1301407|Eirunepé|01012009|
1301506|Envira|01012009|
1301605|Fonte Boa|01012009|
1301654|Guajará|01012009|
1301704|Humaitá|01012009|
1301803|Ipixuna|01012009|
1301852|Iranduba|01012009|
1301902|Itacoatiara|01012009|
1301951|Itamarati|01012009|
1302009|Itapiranga|01012009|
1302108|Japurá|01012009|
1302207|Juruá|01012009|
1302306|Jutaí|01012009|
1302405|Lábrea|01012009|
1302504|Manacapuru|01012009|
1302553|Manaquiri|01012009|
1302603|Manaus|01012009|
1302702|Manicoré|01012009|
1302801|Maraã|01012009|
1302900|Maués|01012009|
1303007|Nhamundá|01012009|
1303106|Nova Olinda do Norte|01012009|
1303205|Novo Airão|01012009|
1303304|Novo Aripuanã|01012009|
1303403|Parintins|01012009|
1303502|Pauini|01012009|
1303536|Presidente Figueiredo|01012009|
1303569|Rio Preto da Eva|01012009|
1303601|Santa Isabel do Rio Negro|01012009|
1303700|Santo Antônio do Içá|01012009|
1303809|São Gabriel da Cachoeira|01012009|
1303908|São Paulo de Olivença|01012009|
1303957|São Sebastião do Uatumã|01012009|
1304005|Silves|01012009|
1304062|Tabatinga|01012009|
1304104|Tapauá|01012009|
1304203|Tefé|01012009|
1304237|Tonantins|01012009|
1304260|Uarini|01012009|
1304302|Urucará|01012009|
1304401|Urucurituba|01012009|
2800100|Amparo de São Francisco|01012009|
2800209|Aquidabã|01012009|
2800308|Aracaju|01012009|
2800407|Arauá|01012009|
2800506|Areia Branca|01012009|
2800605|Barra dos Coqueiros|01012009|
2800670|Boquim|01012009|
2800704|Brejo Grande|01012009|
2801009|Campo do Brito|01012009|
2801108|Canhoba|01012009|
2801207|Canindé de São Francisco|01012009|
2801306|Capela|01012009|
2801405|Carira|01012009|
2801504|Carmópolis|01012009|
2801603|Cedro de São João|01012009|
2801702|Cristinápolis|01012009|
2801900|Cumbe|01012009|
2802007|Divina Pastora|01012009|
2802106|Estância|01012009|
2802205|Feira Nova|01012009|
2802304|Frei Paulo|01012009|
2802403|Gararu|01012009|
2802502|General Maynard|01012009|
2802601|Gracho Cardoso|01012009|
2802700|Ilha das Flores|01012009|
2802809|Indiaroba|01012009|
2802908|Itabaiana|01012009|
2803005|Itabaianinha|01012009|
2803104|Itabi|01012009|
2803203|Itaporanga d'Ajuda|01012009|
2803302|Japaratuba|01012009|
2803401|Japoatã|01012009|
2803500|Lagarto|01012009|
2803609|Laranjeiras|01012009|
2803708|Macambira|01012009|
2803807|Malhada dos Bois|01012009|
2803906|Malhador|01012009|
2804003|Maruim|01012009|
2804102|Moita Bonita|01012009|
2804201|Monte Alegre de Sergipe|01012009|
2804300|Muribeca|01012009|
2804409|Neópolis|01012009|
2804458|Nossa Senhora Aparecida|01012009|
2804508|Nossa Senhora da Glória|01012009|
2804607|Nossa Senhora das Dores|01012009|
2804706|Nossa Senhora de Lourdes|01012009|
2804805|Nossa Senhora do Socorro|01012009|
2804904|Pacatuba|01012009|
2805000|Pedra Mole|01012009|
2805109|Pedrinhas|01012009|
2805208|Pinhão|01012009|
2805307|Pirambu|01012009|
2805406|Poço Redondo|01012009|
2805505|Poço Verde|01012009|
2805604|Porto da Folha|01012009|
2805703|Propriá|01012009|
2805802|Riachão do Dantas|01012009|
2805901|Riachuelo|01012009|
2806008|Ribeirópolis|01012009|
2806107|Rosário do Catete|01012009|
2806206|Salgado|01012009|
2806305|Santa Luzia do Itanhy|01012009|
2806503|Santa Rosa de Lima|01012009|
2806404|Santana do São Francisco|01012009|
2806602|Santo Amaro das Brotas|01012009|
2806701|São Cristóvão|01012009|
2806800|São Domingos|01012009|
2806909|São Francisco|01012009|
2807006|São Miguel do Aleixo|01012009|
2807105|Simão Dias|01012009|
2807204|Siriri|01012009|
2807303|Telha|01012009|
2807402|Tobias Barreto|01012009|
2807501|Tomar do Geru|01012009|
2807600|Umbaúba|01012009|
3200102|Afonso Cláudio|01012009|
3200169|Água Doce do Norte|01012009|
3200136|Águia Branca|01012009|
3200201|Alegre|01012009|
3200300|Alfredo Chaves|01012009|
3200359|Alto Rio Novo|01012009|
3200409|Anchieta|01012009|
3200508|Apiacá|01012009|
3200607|Aracruz|01012009|
3200706|Atilio Vivacqua|01012009|
3200805|Baixo Guandu|01012009|
3200904|Barra de São Francisco|01012009|
3201001|Boa Esperança|01012009|
3201100|Bom Jesus do Norte|01012009|
3201159|Brejetuba|01012009|
3201209|Cachoeiro de Itapemirim|01012009|
3201308|Cariacica|01012009|
3201407|Castelo|01012009|
3201506|Colatina|01012009|
3201605|Conceição da Barra|01012009|
3201704|Conceição do Castelo|01012009|
3201803|Divino de São Lourenço|01012009|
3201902|Domingos Martins|01012009|
3202009|Dores do Rio Preto|01012009|
3202108|Ecoporanga|01012009|
3202207|Fundão|01012009|
3202256|Governador Lindenberg|01012009|
3202306|Guaçuí|01012009|
3202405|Guarapari|01012009|
3202454|Ibatiba|01012009|
3202504|Ibiraçu|01012009|
3202553|Ibitirama|01012009|
3202603|Iconha|01012009|
3202652|Irupi|01012009|
3202702|Itaguaçu|01012009|
3202801|Itapemirim|01012009|
3202900|Itarana|01012009|
3203007|Iúna|01012009|
3203056|Jaguaré|01012009|
3203106|Jerônimo Monteiro|01012009|
3203130|João Neiva|01012009|
3203163|Laranja da Terra|01012009|
3203205|Linhares|01012009|
3203304|Mantenópolis|01012009|
3203320|Marataízes|01012009|
3203346|Marechal Floriano|01012009|
3203353|Marilândia|01012009|
3203403|Mimoso do Sul|01012009|
3203502|Montanha|01012009|
3203601|Mucurici|01012009|
3203700|Muniz Freire|01012009|
3203809|Muqui|01012009|
3203908|Nova Venécia|01012009|
3204005|Pancas|01012009|
3204054|Pedro Canário|01012009|
3204104|Pinheiros|01012009|
3204203|Piúma|01012009|
3204252|Ponto Belo|01012009|
3204302|Presidente Kennedy|01012009|
3204351|Rio Bananal|01012009|
3204401|Rio Novo do Sul|01012009|
3204500|Santa Leopoldina|01012009|
3204559|Santa Maria de Jetibá|01012009|
3204609|Santa Teresa|01012009|
3204658|São Domingos do Norte|01012009|
3204708|São Gabriel da Palha|01012009|
3204807|São José do Calçado|01012009|
3204906|São Mateus|01012009|
3204955|São Roque do Canaã|01012009|
3205002|Serra|01012009|
3205010|Sooretama|01012009|
3205036|Vargem Alta|01012009|
3205069|Venda Nova do Imigrante|01012009|
3205101|Viana|01012009|
3205150|Vila Pavão|01012009|
3205176|Vila Valério|01012009|
3205200|Vila Velha|01012009|
3205309|Vitória|01012009|
5000203|Água Clara|01012009|
5000252|Alcinópolis|01012009|
5000609|Amambaí|01012009|
5000708|Anastácio|01012009|
5000807|Anaurilândia|01012009|
5000856|Angélica|01012009|
5000906|Antônio João|01012009|
5001003|Aparecida do Taboado|01012009|
5001102|Aquidauana|01012009|
5001243|Aral Moreira|01012009|
5001508|Bandeirantes|01012009|
5001904|Bataguassu|01012009|
5002001|Batayporã|01012009|
5002100|Bela Vista|01012009|
5002159|Bodoquena|01012009|
5002209|Bonito|01012009|
5002308|Brasilândia|01012009|
5002407|Caarapó|01012009|
5002605|Camapuã|01012009|
5002704|Campo Grande|01012009|
5002803|Caracol|01012009|
5002902|Cassilândia|01012009|
5002951|Chapadão do Sul|01012009|
5003108|Corguinho|01012009|
5003157|Coronel Sapucaia|01012009|
5003207|Corumbá|01012009|
5003256|Costa Rica|01012009|
5003306|Coxim|01012009|
5003454|Deodápolis|01012009|
5003488|Dois Irmãos do Buriti|01012009|
5003504|Douradina|01012009|
5003702|Dourados|01012009|
5003751|Eldorado|01012009|
5003801|Fátima do Sul|01012009|
5003900|Figueirão|01012009|
5004007|Glória de Dourados|01012009|
5004106|Guia Lopes da Laguna|01012009|
5004304|Iguatemi|01012009|
5004403|Inocência|01012009|
5004502|Itaporã|01012009|
5004601|Itaquiraí|01012009|
5004700|Ivinhema|01012009|
5004809|Japorã|01012009|
5004908|Jaraguari|01012009|
5005004|Jardim|01012009|
5005103|Jateí|01012009|
5005152|Juti|01012009|
5005202|Ladário|01012009|
5005251|Laguna Carapã|01012009|
5005400|Maracaju|01012009|
5005608|Miranda|01012009|
5005681|Mundo Novo|01012009|
5005707|Naviraí|01012009|
5005806|Nioaque|01012009|
5006002|Nova Alvorada do Sul|01012009|
5006200|Nova Andradina|01012009|
5006259|Novo Horizonte do Sul|01012009|
5006309|Paranaíba|01012009|
5006358|Paranhos|01012009|
5006408|Pedro Gomes|01012009|
5006606|Ponta Porã|01012009|
5006903|Porto Murtinho|01012009|
5007109|Ribas do Rio Pardo|01012009|
5007208|Rio Brilhante|01012009|
5007307|Rio Negro|01012009|
5007406|Rio Verde de Mato Grosso|01012009|
5007505|Rochedo|01012009|
5007554|Santa Rita do Pardo|01012009|
5007695|São Gabriel do Oeste|01012009|
5007802|Selvíria|01012009|
5007703|Sete Quedas|01012009|
5007901|Sidrolândia|01012009|
5007935|Sonora|01012009|
5007950|Tacuru|01012009|
5007976|Taquarussu|01012009|
5008008|Terenos|01012009|
5008305|Três Lagoas|01012009|
5008404|Vicentina|01012009|
3300100|Angra dos Reis|01012009|
3300159|Aperibé|01012009|
3300209|Araruama|01012009|
3300225|Areal|01012009|
3300233|Armação dos Búzios|01012009|
3300258|Arraial do Cabo|01012009|
3300308|Barra do Piraí|01012009|
3300407|Barra Mansa|01012009|
3300456|Belford Roxo|01012009|
3300506|Bom Jardim|01012009|
3300605|Bom Jesus do Itabapoana|01012009|
3300704|Cabo Frio|01012009|
3300803|Cachoeiras de Macacu|01012009|
3300902|Cambuci|01012009|
3301009|Campos dos Goytacazes|01012009|
3301108|Cantagalo|01012009|
3300936|Carapebus|01012009|
3301157|Cardoso Moreira|01012009|
3301207|Carmo|01012009|
3301306|Casimiro de Abreu|01012009|
3300951|Comendador Levy Gasparian|01012009|
3301405|Conceição de Macabu|01012009|
3301504|Cordeiro|01012009|
3301603|Duas Barras|01012009|
3301702|Duque de Caxias|01012009|
3301801|Engenheiro Paulo de Frontin|01012009|
3301850|Guapimirim|01012009|
3301876|Iguaba Grande|01012009|
3301900|Itaboraí|01012009|
3302007|Itaguaí|01012009|
3302056|Italva|01012009|
3302106|Itaocara|01012009|
3302205|Itaperuna|01012009|
3302254|Itatiaia|01012009|
3302270|Japeri|01012009|
3302304|Laje do Muriaé|01012009|
3302403|Macaé|01012009|
3302452|Macuco|01012009|
3302502|Magé|01012009|
3302601|Mangaratiba|01012009|
3302700|Maricá|01012009|
3302809|Mendes|01012009|
3302858|Mesquita|01012009|
3302908|Miguel Pereira|01012009|
3303005|Miracema|01012009|
3303104|Natividade|01012009|
3303203|Nilópolis|01012009|
3303302|Niterói|01012009|
3303401|Nova Friburgo|01012009|
3303500|Nova Iguaçu|01012009|
3303609|Paracambi|01012009|
3303708|Paraíba do Sul|01012009|
3303807|Parati|01012009|
3303856|Paty do Alferes|01012009|
3303906|Petrópolis|01012009|
3303955|Pinheiral|01012009|
3304003|Piraí|01012009|
3304102|Porciúncula|01012009|
3304110|Porto Real|01012009|
3304128|Quatis|01012009|
3304144|Queimados|01012009|
3304151|Quissamã|01012009|
3304201|Resende|01012009|
3304300|Rio Bonito|01012009|
3304409|Rio Claro|01012009|
3304508|Rio das Flores|01012009|
3304524|Rio das Ostras|01012009|
3304557|Rio de Janeiro|01012009|
3304607|Santa Maria Madalena|01012009|
3304706|Santo Antônio de Pádua|01012009|
3304805|São Fidélis|01012009|
3304755|São Francisco de Itabapoana|01012009|
3304904|São Gonçalo|01012009|
3305000|São João da Barra|01012009|
3305109|São João de Meriti|01012009|
3305133|São José de Ubá|01012009|
3305158|São José do Vale do Rio Preto|01012009|
3305208|São Pedro da Aldeia|01012009|
3305307|São Sebastião do Alto|01012009|
3305406|Sapucaia|01012009|
3305505|Saquarema|01012009|
3305554|Seropédica|01012009|
3305604|Silva Jardim|01012009|
3305703|Sumidouro|01012009|
3305752|Tanguá|01012009|
3305802|Teresópolis|01012009|
3305901|Trajano de Morais|01012009|
3306008|Três Rios|01012009|
3306107|Valença|01012009|
3306156|Varre-Sai|01012009|
3306206|Vassouras|01012009|
3306305|Volta Redonda|01012009|
2700102|Água Branca|01012009|
2700201|Anadia|01012009|
2700300|Arapiraca|01012009|
2700409|Atalaia|01012009|
2700508|Barra de Santo Antônio|01012009|
2700607|Barra de São Miguel|01012009|
2700706|Batalha|01012009|
2700805|Belém|01012009|
2700904|Belo Monte|01012009|
2701001|Boca da Mata|01012009|
2701100|Branquinha|01012009|
2701209|Cacimbinhas|01012009|
2701308|Cajueiro|01012009|
2701357|Campestre|01012009|
2701407|Campo Alegre|01012009|
2701506|Campo Grande|01012009|
2701605|Canapi|01012009|
2701704|Capela|01012009|
2701803|Carneiros|01012009|
2701902|Chã Preta|01012009|
2702009|Coité do Nóia|01012009|
2702108|Colônia Leopoldina|01012009|
2702207|Coqueiro Seco|01012009|
2702306|Coruripe|01012009|
2702355|Craíbas|01012009|
2702405|Delmiro Gouveia|01012009|
2702504|Dois Riachos|01012009|
2702553|Estrela de Alagoas|01012009|
2702603|Feira Grande|01012009|
2702702|Feliz Deserto|01012009|
2702801|Flexeiras|01012009|
2702900|Girau do Ponciano|01012009|
2703007|Ibateguara|01012009|
2703106|Igaci|01012009|
2703205|Igreja Nova|01012009|
2703304|Inhapi|01012009|
2703403|Jacaré dos Homens|01012009|
2703502|Jacuípe|01012009|
2703601|Japaratinga|01012009|
2703700|Jaramataia|01012009|
2703759|Jequiá da Praia|01012009|
2703809|Joaquim Gomes|01012009|
2703908|Jundiá|01012009|
2704005|Junqueiro|01012009|
2704104|Lagoa da Canoa|01012009|
2704203|Limoeiro de Anadia|01012009|
2704302|Maceió|01012009|
2704401|Major Isidoro|01012009|
2704906|Mar Vermelho|01012009|
2704500|Maragogi|01012009|
2704609|Maravilha|01012009|
2704708|Marechal Deodoro|01012009|
2704807|Maribondo|01012009|
2705002|Mata Grande|01012009|
2705101|Matriz de Camaragibe|01012009|
2705200|Messias|01012009|
2705309|Minador do Negrão|01012009|
2705408|Monteirópolis|01012009|
2705507|Murici|01012009|
2705606|Novo Lino|01012009|
2705705|Olho d'Água das Flores|01012009|
2705804|Olho d'Água do Casado|01012009|
2705903|Olho d'Água Grande|01012009|
2706000|Olivença|01012009|
2706109|Ouro Branco|01012009|
2706208|Palestina|01012009|
2706307|Palmeira dos Índios|01012009|
2706406|Pão de Açúcar|01012009|
2706422|Pariconha|01012009|
2706448|Paripueira|01012009|
2706505|Passo de Camaragibe|01012009|
2706604|Paulo Jacinto|01012009|
2706703|Penedo|01012009|
2706802|Piaçabuçu|01012009|
2706901|Pilar|01012009|
2707008|Pindoba|01012009|
2707107|Piranhas|01012009|
2707206|Poço das Trincheiras|01012009|
2707305|Porto Calvo|01012009|
2707404|Porto de Pedras|01012009|
2707503|Porto Real do Colégio|01012009|
2707602|Quebrangulo|01012009|
2707701|Rio Largo|01012009|
2707800|Roteiro|01012009|
2707909|Santa Luzia do Norte|01012009|
2708006|Santana do Ipanema|01012009|
2708105|Santana do Mundaú|01012009|
2708204|São Brás|01012009|
2708303|São José da Laje|01012009|
2708402|São José da Tapera|01012009|
2708501|São Luís do Quitunde|01012009|
2708600|São Miguel dos Campos|01012009|
2708709|São Miguel dos Milagres|01012009|
2708808|São Sebastião|01012009|
2708907|Satuba|01012009|
2708956|Senador Rui Palmeira|01012009|
2709004|Tanque d'Arca|01012009|
2709103|Taquarana|01012009|
2709152|Teotônio Vilela|01012009|
2709202|Traipu|01012009|
2709301|União dos Palmares|01012009|
2709400|Viçosa|01012009|
1700251|Abreulândia|01012009|
1700301|Aguiarnópolis|01012009|
1700350|Aliança do Tocantins|01012009|
1700400|Almas|01012009|
1700707|Alvorada|01012009|
1701002|Ananás|01012009|
1701051|Angico|01012009|
1701101|Aparecida do Rio Negro|01012009|
1701309|Aragominas|01012009|
1701903|Araguacema|01012009|
1702000|Araguaçu|01012009|
1702109|Araguaína|01012009|
1702158|Araguanã|01012009|
1702208|Araguatins|01012009|
1702307|Arapoema|01012009|
1702406|Arraias|01012009|
1702554|Augustinópolis|01012009|
1702703|Aurora do Tocantins|01012009|
1702901|Axixá do Tocantins|01012009|
1703008|Babaçulândia|01012009|
1703057|Bandeirantes do Tocantins|01012009|
1703073|Barra do Ouro|01012009|
1703107|Barrolândia|01012009|
1703206|Bernardo Sayão|01012009|
1703305|Bom Jesus do Tocantins|01012009|
1703602|Brasilândia do Tocantins|01012009|
1703701|Brejinho de Nazaré|01012009|
1703800|Buriti do Tocantins|01012009|
1703826|Cachoeirinha|01012009|
1703842|Campos Lindos|01012009|
1703867|Cariri do Tocantins|01012009|
1703883|Carmolândia|01012009|
1703891|Carrasco Bonito|01012009|
1703909|Caseara|01012009|
1704105|Centenário|01012009|
1705102|Chapada da Natividade|01012009|
1704600|Chapada de Areia|01012009|
1705508|Colinas do Tocantins|01012009|
1716703|Colméia|01012009|
1705557|Combinado|01012009|
1705607|Conceição do Tocantins|01012009|
1706001|Couto de Magalhães|01012009|
1706100|Cristalândia|01012009|
1706258|Crixás do Tocantins|01012009|
1706506|Darcinópolis|01012009|
1707009|Dianópolis|01012009|
1707108|Divinópolis do Tocantins|01012009|
1707207|Dois Irmãos do Tocantins|01012009|
1707306|Dueré|01012009|
1707405|Esperantina|01012009|
1707553|Fátima|01012009|
1707652|Figueirópolis|01012009|
1707702|Filadélfia|01012009|
1708205|Formoso do Araguaia|01012009|
1708254|Fortaleza do Tabocão|01012009|
1708304|Goianorte|01012009|
1709005|Goiatins|01012009|
1709302|Guaraí|01012009|
1709500|Gurupi|01012009|
1709807|Ipueiras|01012009|
1710508|Itacajá|01012009|
1710706|Itaguatins|01012009|
1710904|Itapiratins|01012009|
1711100|Itaporã do Tocantins|01012009|
1711506|Jaú do Tocantins|01012009|
1711803|Juarina|01012009|
1711902|Lagoa da Confusão|01012009|
1711951|Lagoa do Tocantins|01012009|
1712009|Lajeado|01012009|
1712157|Lavandeira|01012009|
1712405|Lizarda|01012009|
1712454|Luzinópolis|01012009|
1712504|Marianópolis do Tocantins|01012009|
1712702|Mateiros|01012009|
1712801|Maurilândia do Tocantins|01012009|
1713205|Miracema do Tocantins|01012009|
1713304|Miranorte|01012009|
1713601|Monte do Carmo|01012009|
1713700|Monte Santo do Tocantins|01012009|
1713957|Muricilândia|01012009|
1714203|Natividade|01012009|
1714302|Nazaré|01012009|
1714880|Nova Olinda|01012009|
1715002|Nova Rosalândia|01012009|
1715101|Novo Acordo|01012009|
1715150|Novo Alegre|01012009|
1715259|Novo Jardim|01012009|
1715507|Oliveira de Fátima|01012009|
1721000|Palmas|01012009|
1715705|Palmeirante|01012009|
1713809|Palmeiras do Tocantins|01012009|
1715754|Palmeirópolis|01012009|
1716109|Paraíso do Tocantins|01012009|
1716208|Paranã|01012009|
1716307|Pau D'Arco|01012009|
1716505|Pedro Afonso|01012009|
1716604|Peixe|01012009|
1716653|Pequizeiro|01012009|
1717008|Pindorama do Tocantins|01012009|
1717206|Piraquê|01012009|
1717503|Pium|01012009|
1717800|Ponte Alta do Bom Jesus|01012009|
1717909|Ponte Alta do Tocantins|01012009|
1718006|Porto Alegre do Tocantins|01012009|
1718204|Porto Nacional|01012009|
1718303|Praia Norte|01012009|
1718402|Presidente Kennedy|01012009|
1718451|Pugmil|01012009|
1718501|Recursolândia|01012009|
1718550|Riachinho|01012009|
1718659|Rio da Conceição|01012009|
1718709|Rio dos Bois|01012009|
1718758|Rio Sono|01012009|
1718808|Sampaio|01012009|
1718840|Sandolândia|01012009|
1718865|Santa Fé do Araguaia|01012009|
1718881|Santa Maria do Tocantins|01012009|
1718899|Santa Rita do Tocantins|01012009|
1718907|Santa Rosa do Tocantins|01012009|
1719004|Santa Tereza do Tocantins|01012009|
1720002|Santa Terezinha do Tocantins|01012009|
1720101|São Bento do Tocantins|01012009|
1720150|São Félix do Tocantins|01012009|
1720200|São Miguel do Tocantins|01012009|
1720259|São Salvador do Tocantins|01012009|
1720309|São Sebastião do Tocantins|01012009|
1720499|São Valério da Natividade|01012009|
1720655|Silvanópolis|01012009|
1720804|Sítio Novo do Tocantins|01012009|
1720853|Sucupira|01012009|
1720903|Taguatinga|01012009|
1720937|Taipas do Tocantins|01012009|
1720978|Talismã|01012009|
1721109|Tocantínia|01012009|
1721208|Tocantinópolis|01012009|
1721257|Tupirama|01012009|
1721307|Tupiratins|01012009|
1722081|Wanderlândia|01012009|
1722107|Xambioá|01012009|
5100102|Acorizal|01012009|
5100201|Água Boa|01012009|
5100250|Alta Floresta|01012009|
5100300|Alto Araguaia|01012009|
5100359|Alto Boa Vista|01012009|
5100409|Alto Garças|01012009|
5100508|Alto Paraguai|01012009|
5100607|Alto Taquari|01012009|
5100805|Apiacás|01012009|
5101001|Araguaiana|01012009|
5101209|Araguainha|01012009|
5101258|Araputanga|01012009|
5101308|Arenápolis|01012009|
5101407|Aripuanã|01012009|
5101605|Barão de Melgaço|01012009|
5101704|Barra do Bugres|01012009|
5101803|Barra do Garças|01012009|
5101852|Bom Jesus do Araguaia|01012009|
5101902|Brasnorte|01012009|
5102504|Cáceres|01012009|
5102603|Campinápolis|01012009|
5102637|Campo Novo do Parecis|01012009|
5102678|Campo Verde|01012009|
5102686|Campos de Júlio|01012009|
5102694|Canabrava do Norte|01012009|
5102702|Canarana|01012009|
5102793|Carlinda|01012009|
5102850|Castanheira|01012009|
5103007|Chapada dos Guimarães|01012009|
5103056|Cláudia|01012009|
5103106|Cocalinho|01012009|
5103205|Colíder|01012009|
5103254|Colniza|01012009|
5103304|Comodoro|01012009|
5103353|Confresa|01012009|
5103361|Conquista D'Oeste|01012009|
5103379|Cotriguaçu|01012009|
5103403|Cuiabá|01012009|
5103437|Curvelândia|01012009|
5103452|Denise|01012009|
5103502|Diamantino|01012009|
5103601|Dom Aquino|01012009|
5103700|Feliz Natal|01012009|
5103809|Figueirópolis D'Oeste|01012009|
5103858|Gaúcha do Norte|01012009|
5103908|General Carneiro|01012009|
5103957|Glória D'Oeste|01012009|
5104104|Guarantã do Norte|01012009|
5104203|Guiratinga|01012009|
5104500|Indiavaí|01012009|
5104526|Ipiranga do Norte|01012009|
5104542|Itanhangá|01012009|
5104559|Itaúba|01012009|
5104609|Itiquira|01012009|
5104807|Jaciara|01012009|
5104906|Jangada|01012009|
5105002|Jauru|01012009|
5105101|Juara|01012009|
5105150|Juína|01012009|
5105176|Juruena|01012009|
5105200|Juscimeira|01012009|
5105234|Lambari D'Oeste|01012009|
5105259|Lucas do Rio Verde|01012009|
5105309|Luciára|01012009|
5105580|Marcelândia|01012009|
5105606|Matupá|01012009|
5105622|Mirassol d'Oeste|01012009|
5105903|Nobres|01012009|
5106000|Nortelândia|01012009|
5106109|Nossa Senhora do Livramento|01012009|
5106158|Nova Bandeirantes|01012009|
5106208|Nova Brasilândia|01012009|
5106216|Nova Canaã do Norte|01012009|
5108808|Nova Guarita|01012009|
5106182|Nova Lacerda|01012009|
5108857|Nova Marilândia|01012009|
5108907|Nova Maringá|01012009|
5108956|Nova Monte Verde|01012009|
5106224|Nova Mutum|01012009|
5106174|Nova Nazaré|01012009|
